spot_number,x_location,y_location,z_location,row,col
477,568.5607638020833,3269.972383958333,15.673963086458334,32.0,5.0
478,583.4690679354354,3330.905227177177,16.320597081081083,33.0,5.0
479,573.6445205737706,3449.4761303278688,16.104817108606557,34.0,5.0
480,562.8545412631579,3544.7601436842106,16.311148230263157,35.0,5.0
481,571.7851746250001,3634.6039025,16.904870881249998,36.0,5.0
482,566.4836740000001,3763.0945822222225,16.792674622222222,37.0,5.0
483,574.2831164,3856.9936239999997,16.358268250000002,38.0,5.0
484,578.030424025974,3948.947092207792,16.609908655844155,39.0,5.0
485,570.5667426086957,4062.6341152173914,16.166134065217392,40.0,5.0
486,585.8717610091743,4166.701733027523,18.8036055412844,41.0,5.0
487,555.6540276470588,4251.90865,14.43658005882353,42.0,5.0
488,556.679893,4369.60258,13.908049837499998,43.0,5.0
489,559.7261793333333,4428.418986666667,13.931645633333334,44.0,5.0
543,647.2149633333333,973.5094233333334,12.015812222222223,9.0,6.0
544,645.5624252173913,1045.3222669565218,12.002412391304347,10.0,6.0
545,655.9285872727273,1147.7218227272726,11.968233545454545,11.0,6.0
546,649.6592296969698,1252.8642242424241,12.074710363636363,12.0,6.0
547,660.321449375,1366.9071416666666,11.97800559375,13.0,6.0
548,663.769578357211,1461.422747851003,13.76808449904489,14.0,6.0
549,659.8828591967044,1555.9133003089598,14.003492961894953,15.0,6.0
550,640.5114363625593,1659.59153992891,13.097907241706162,16.0,6.0
551,648.0937442840512,1741.6741975552968,13.340454835855647,17.0,6.0
552,653.4198710130719,1864.6164070261439,13.620399487745098,18.0,6.0
553,666.6233348634812,1946.6840307167236,13.838843609215017,19.0,6.0
554,646.7713934548945,2045.5205316698655,14.477207673704415,20.0,6.0
555,676.923461380368,2176.046934355828,15.45520050613497,21.0,6.0
556,646.5625433284883,2252.796392732558,14.853561957122093,22.0,6.0
557,660.3147224452555,2344.0929740875913,15.46919474270073,23.0,6.0
558,633.0906793671548,2468.624824006276,15.410625247646443,24.0,6.0
559,640.5423041379311,2557.5934733603785,15.117193183908046,25.0,6.0
560,641.9970357692308,2655.3056300262238,15.200976486451047,26.0,6.0
561,638.8733375963488,2739.391734178499,15.873709141480731,27.0,6.0
562,648.7061777894737,2868.604811578947,15.795013021052632,28.0,6.0
563,635.3252868085106,2967.731905851064,15.989760987588651,29.0,6.0
564,642.6048236138613,3042.6951876237626,15.318846351485147,30.0,6.0
565,636.7958173636364,3158.373890909091,15.846765604545455,31.0,6.0
566,644.4653736150235,3250.400095774648,15.343379289906105,32.0,6.0
567,650.5782824512535,3345.1826676880223,15.090595137883009,33.0,6.0
568,647.2077594651163,3464.8004925581395,15.947811288953488,34.0,6.0
569,656.9480922779923,3548.1305254826257,15.718280456563708,35.0,6.0
570,676.3809566849015,3657.4041478118165,15.66608147702407,36.0,6.0
571,662.7350750746269,3764.5902614574184,15.902341400790165,37.0,6.0
572,667.9917144929117,3846.238401199564,15.84840204852781,38.0,6.0
573,647.3285677480916,3941.2599274809163,15.857810421755726,39.0,6.0
574,655.7814917985611,4052.019761151079,16.33354921402878,40.0,6.0
575,646.2636911640211,4165.640558465609,17.238848972222222,41.0,6.0
576,649.4273247305389,4280.09688762475,16.673158482035927,42.0,6.0
577,650.131821774744,4347.752559044369,16.725828348122867,43.0,6.0
578,676.4478760714286,4462.106994285714,16.02157406785714,44.0,6.0
579,668.4843390821255,4541.219758454106,16.2595327705314,45.0,6.0
580,668.8452095172414,4653.87864,17.127283437931034,46.0,6.0
581,674.3995932317074,4768.327244207317,16.9339609375,47.0,6.0
582,678.5777353846154,4843.476309890109,15.411783115384615,48.0,6.0
583,671.3589078260869,4949.0947804347825,16.24833922826087,49.0,6.0
584,686.8075630909091,5045.562821818182,16.921226985454545,50.0,6.0
585,677.3570075,5159.722902272727,16.32123346590909,51.0,6.0
586,681.9582465789473,5264.366005263158,16.01881319736842,52.0,6.0
587,678.279365263158,5353.850952631578,15.933127289473685,53.0,6.0
588,676.3788511363637,5457.150152272728,14.281664977272728,54.0,6.0
589,674.5295143478261,5558.746595652175,13.773353499999999,55.0,6.0
590,676.0287284210526,5655.409494736842,13.680351131578947,56.0,6.0
591,678.9448814285714,5746.050933333334,13.788866619047619,57.0,6.0
592,668.1863706666667,5846.017273333333,13.675812266666666,58.0,6.0
593,672.9761916666666,5955.2913499999995,13.7989995,59.0,6.0
594,669.8997027777777,6057.405155555555,13.743659083333334,60.0,6.0
595,675.2126890909091,6159.903345454545,13.840711454545454,61.0,6.0
596,675.8498581818181,6262.317054545454,14.107820045454547,62.0,6.0
597,677.7456266666667,6374.9276,14.000707416666666,63.0,6.0
598,682.7823992857144,6454.24775,14.237953892857144,64.0,6.0
599,673.7271007692308,6575.649807692307,14.31995223076923,65.0,6.0
600,681.912409,6675.79615,13.980984150000001,66.0,6.0
601,680.3266272727273,6740.523963636364,14.02736881818182,67.0,6.0
602,684.0472936363636,6850.951363636364,14.038621363636365,68.0,6.0
603,679.795386,6940.189526666667,14.049703200000002,69.0,6.0
604,676.968295,7025.295575,14.150176250000001,70.0,6.0
632,758.9888599999999,969.7187731578947,12.161021763157896,9.0,7.0
633,752.5537636363636,1060.4746209090908,12.11148934090909,10.0,7.0
